38	42	2
38	43	6
38	44	3
38	45	1
38	52	2
38	55	1
38	57	3
38	62	2
38	65	1
38	66	4
38	67	1
38	70	2
38	74	3
38	75	1
38	76	1
38	78	1
38	79	1
38	80	1
38	82	2
38	83	1
38	86	1
38	88	2
38	89	1
38	92	1
38	93	2
38	94	1
38	98	5
38	100	1
38	102	1
38	105	1
38	109	1
39	40	2
39	51	2
39	55	1
39	56	2
39	57	1
39	63	1
39	66	1
39	88	1
39	96	1
39	98	1
39	102	1
39	106	1
39	108	1
39	109	1
40	41	1
40	42	1
40	44	1
40	45	1
40	46	1
40	47	1
40	48	1
40	49	1
40	51	2
40	55	3
40	58	2
40	62	1
40	63	4
40	66	4
40	68	1
40	70	1
40	72	1
40	73	3
40	74	1
40	77	1
40	78	1
40	79	4
40	80	2
40	87	1
40	88	1
40	89	1
40	91	3
40	92	2
40	93	2
40	94	2
40	98	2
40	99	4
40	100	3
40	101	1
40	102	3
40	105	1
40	107	2
40	110	2
41	42	2
41	45	2
41	46	1
41	47	2
41	48	2
41	54	1
41	57	5
41	60	1
41	61	4
41	62	2
41	64	1
41	66	2
41	68	1
41	69	1
41	70	4
41	71	1
41	72	1
41	74	3
41	75	4
41	77	2
41	80	5
41	81	4
41	82	1
41	86	2
41	87	1
41	92	1
41	94	3
41	95	3
41	96	1
41	98	1
41	102	4
41	105	2
41	109	3
41	110	1
42	43	2
42	44	2
42	46	2
42	47	3
42	49	2
42	50	2
42	51	1
42	54	3
42	55	2
42	56	2
42	57	4
42	59	1
42	60	1
42	61	2
42	62	3
42	63	1
42	65	1
42	66	3
42	68	2
42	69	3
42	70	7
42	72	2
42	74	4
42	75	2
42	80	3
42	81	2
42	82	1
42	83	3
42	84	2
42	85	2
42	86	2
42	87	1
42	88	2
42	90	1
42	92	2
42	93	6
42	96	1
42	98	2
42	100	2
42	102	1
42	103	1
42	104	2
42	105	3
42	107	2
42	109	6
43	44	4
43	45	1
43	57	1
43	62	1
43	65	1
43	66	3
43	70	1
43	74	2
43	76	1
43	78	1
43	79	1
43	83	2
43	86	1
43	88	2
43	89	1
43	92	1
43	94	1
43	98	3
43	100	2
43	102	1
43	105	1
44	45	1
44	46	1
44	47	1
44	49	1
44	57	1
44	63	2
44	66	3
44	69	1
44	71	1
44	76	1
44	78	1
44	79	1
44	83	3
44	86	1
44	88	4
44	89	2
44	90	1
44	92	1
44	98	5
