id,study,title,design,instrument,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
214,"Luna, 2018",A Fuzzy Speed Controller for a Guide Robot Using a,other,A,NA,NA,NA,NA,NA,,,,,
215,"Ma, 2016",Effective leadership for crowd evacuation,simulation,B,,,,,,R,R,N,R,P
216,"Ma, 2017",Dual effects of guide-based guidance on pedestrian,simulation,B,,,,,,R,P,N,R,P
217,"Ma, 2017",Experimental study on small group behavior and cro,empirical,A,R,R,R,R,P,,,,,
218,"Ma, 2020",Study on large-scale crowd evacuation method in cu,simulation,B,,,,,,R,P,N,R,P
219,"Makmul, 2023",A Pedestrian Evacuation Model with Leaders during the Smoke,simulation,B,,,,,,R,P,N,R,P
220,"Mao, 2019",Modeling Group Structures With Emotion in Crowd Ev,simulation,B,,,,,,R,P,N,P,P
221,"Mao, 2020",Personality trait and group emotion contagion base,simulation,B,,,,,,R,P,P,R,P
222,"Mao, 2024",Simulated interventions based on virtual reality t,empirical,A,R,R,R,P,P,,,,,
223,"Marsh, 2014",Crowd Guidance in Building Emergencies Using Virt,mixed,A+B,R,P,R,P,P,P,P,P,N,P
224,"Mason, 2020",Evolutionary Game Dynamics for Crowd Behavior in E,simulation,B,,,,,,R,P,N,P,P
225,"Minton, 2004",Crowd dynamics a paradigm for simulating and pred,simulation,B,,,,,,P,P,N,R,P
230,"Muhammad, 2018",Crowds Evacuation Simulation on Heterogeneous Agen,simulation,B,,,,,,R,P,N,P,P
231,"Nayyar, 2021",Aiding Emergency Evacuations Using Obstacle-Aware,simulation,B,,,,,,R,P,P,R,P
232,"Nayyar, 2020",Exploring the Effect of Explanations During Robot-,empirical,A,R,R,R,R,P,,,,,
233,"Nayyar, 2023",Characterizing Evacuee Behavior During a Robot-Gui,empirical,A,R,R,R,P,P,,,,,
235,"Okaya, 2011",Evacuation simulation with communication for anti-,simulation,B,,,,,,R,P,N,P,R
236,"Pelechano, 2006",Modeling Crowd and Trained Leader Behavior during,simulation,B,,,,,,R,P,N,R,P
237,"Pinkert, 2007",Leadership as a Component of Crowd Control in a Ho,other,NA,,,,,,,,,,
238,"Pluchino, 2015",Agent-Based Model for Pedestrians Evacuation afte,simulation,B,,,,,,R,R,P,R,P
239,"Qiao, 2024",A simulation study of the influence of dedicated b,simulation,B,,,,,,R,R,P,R,P
240,"Qiu, 2010",Modeling group structures in pedestrian crowd simu,simulation,B,,,,,,R,P,N,R,P
244,"Ren, 2009",Agent-Based Modeling and Simulation on Emergency E,simulation,B,,,,,,R,P,N,R,P
245,"Ren, 2021",Variable guiding strategies in multi-exits evacuat,simulation,B,,,,,,R,P,N,R,P
246,"Ren, 2022",Experimental study of crowd evacuation dynamics co,empirical,A,R,R,R,P,P,,,,,
247,"Ren, 2023",Modified social force model considering emotional,simulation,B,,,,,,R,P,N,R,P
