uptake_C,total_agents,iwd_agents,total_exited,iwd_exited,total_completion_rate,iwd_completion_rate,median_exit_time_s,max_exit_time_s,route_changes,uptake_agents,runtime_seconds,simulated_horizon_s,scenario_id,paired_total_exit_difference_from_C0,paired_iwd_exit_difference_from_C0
0.5,2096,236,2003,232,0.95563,0.983051,125.25,359.6,505,1039,184.5,360.0000000000476,28,413,39
0.7,2096,236,2096,236,1.0,1.0,126.85,352.05,702,1467,179.395,352.1000000000458,28,506,43
0.0,2096,917,2000,854,0.954198,0.931298,170.225,359.9,0,0,205.981,360.0000000000476,29,0,0
0.1,2096,917,2025,846,0.966126,0.922574,170.1,359.7,66,201,199.563,360.0000000000476,29,25,-8
0.3,2096,917,2076,897,0.990458,0.97819,167.275,359.85,178,617,184.836,360.0000000000476,29,76,43
0.5,2096,917,2063,884,0.984256,0.964013,166.25,359.25,275,1011,165.937,360.0000000000476,29,63,30
0.7,2096,917,2093,914,0.998569,0.996728,168.35,358.05,378,1437,185.506,360.0000000000476,29,93,60
0.0,2096,513,1701,427,0.811546,0.832359,153.4,359.8,0,0,221.477,360.0000000000476,30,0,0
0.1,2096,513,1748,427,0.833969,0.832359,154.3,359.9,67,201,203.229,360.0000000000476,30,47,0
0.3,2096,513,1908,466,0.910305,0.908382,158.625,359.8,240,632,196.492,360.0000000000476,30,207,39
0.5,2096,513,2065,507,0.98521,0.988304,162.2,359.8,407,1070,171.972,360.0000000000476,30,364,80
0.7,2096,513,2094,511,0.999046,0.996101,161.275,359.3,548,1477,190.849,360.0000000000476,30,393,84
0.0,2096,305,1646,254,0.785305,0.832787,124.8,359.9,0,0,229.553,360.0000000000476,31,0,0
0.1,2096,305,1744,267,0.832061,0.87541,123.45,359.65,112,227,202.875,360.0000000000476,31,98,13
0.3,2096,305,1903,288,0.90792,0.944262,124.25,359.9,291,647,194.695,360.0000000000476,31,257,34
0.5,2096,305,2045,303,0.975668,0.993443,124.4,359.65,475,1070,173.284,360.0000000000476,31,399,49
0.7,2096,305,2096,305,1.0,1.0,124.375,338.3,666,1490,179.523,338.35000000004266,31,450,51
0.0,2096,278,1531,207,0.730439,0.744604,150.25,359.85,0,0,228.14,360.0000000000476,32,0,0
0.1,2096,278,1616,224,0.770992,0.805755,154.2,359.85,101,225,218.332,360.0000000000476,32,85,17
0.3,2096,278,1749,226,0.834447,0.81295,155.15,359.75,281,626,195.628,360.0000000000476,32,218,19
0.5,2096,278,1917,257,0.914599,0.92446,159.6,359.95,467,1052,180.717,360.0000000000476,32,386,50
0.7,2096,278,2095,277,0.999523,0.996403,161.75,356.95,689,1518,193.48,360.0000000000476,32,564,70
0.0,2096,551,1717,453,0.819179,0.822142,152.95,359.75,0,0,215.255,360.0000000000476,33,0,0
0.1,2096,551,1759,452,0.839218,0.820327,154.05,359.75,73,205,209.842,360.0000000000476,33,42,-1
0.3,2096,551,1895,487,0.904103,0.883848,155.75,359.75,221,616,193.41,360.0000000000476,33,178,34
0.5,2096,551,2029,523,0.968034,0.949183,159.75,359.75,375,1027,180.449,360.0000000000476,33,312,70
0.7,2096,551,2094,549,0.999046,0.99637,159.375,352.75,532,1448,199.235,360.0000000000476,33,377,96
0.0,2096,100,1504,72,0.717557,0.72,126.925,359.7,0,0,301.03,360.0000000000476,34,0,0
0.1,2096,100,1586,78,0.756679,0.78,126.025,359.7,94,190,281.124,360.0000000000476,34,82,6
0.3,2096,100,1752,86,0.835878,0.86,125.5,359.7,316,601,256.191,360.0000000000476,34,248,14
0.5,2096,100,1925,96,0.918416,0.96,125.35,359.85,534,1009,222.14,360.0000000000476,34,421,24
0.7,2096,100,2095,100,0.999523,1.0,130.0,359.6,735,1433,192.537,360.0000000000476,34,591,28
0.0,2096,202,1552,161,0.740458,0.79703,134.55,359.8,0,0,265.726,360.0000000000476,35,0,0
0.1,2096,202,1639,172,0.781966,0.851485,133.7,359.6,105,196,275.622,360.0000000000476,35,87,11
0.3,2096,202,1803,184,0.86021,0.910891,134.0,359.75,309,615,240.898,360.0000000000476,35,251,23
0.5,2096,202,1961,195,0.935592,0.965347,134.7,359.9,499,1037,216.75,360.0000000000476,35,409,34
0.7,2096,202,2094,201,0.999046,0.99505,138.125,355.65,708,1459,193.47,360.0000000000476,35,542,40
0.0,2096,889,1999,821,0.953721,0.92351,162.25,359.8,0,0,223.954,360.0000000000476,36,0,0
0.1,2096,889,2076,869,0.990458,0.977503,159.15,359.55,78,216,207.073,360.0000000000476,36,77,48
0.3,2096,889,2086,879,0.995229,0.988751,160.175,359.9,187,614,195.807,360.0000000000476,36,87,58
0.5,2096,889,2096,889,1.0,1.0,159.475,357.35,290,1041,209.578,357.400000000047,36,97,68
0.7,2096,889,2096,889,1.0,1.0,160.15,330.55,397,1486,206.34,330.6000000000409,36,97,68
0.0,2096,82,1503,64,0.71708,0.780488,128.15,359.75,0,0,299.158,360.0000000000476,37,0,0
0.1,2096,82,1583,72,0.755248,0.878049,129.75,359.75,87,176,296.019,360.0000000000476,37,80,8
0.3,2096,82,1749,73,0.834447,0.890244,130.05,359.6,318,630,238.645,360.0000000000476,37,246,9
0.5,2096,82,1951,82,0.930821,1.0,131.4,359.75,548,1066,234.862,360.0000000000476,37,448,18
0.7,2096,82,2095,82,0.999523,1.0,133.4,347.75,783,1488,202.111,360.0000000000476,37,592,18
0.0,2096,439,1641,362,0.78292,0.824601,150.0,359.6,0,0,255.424,360.0000000000476,38,0,0
0.1,2096,439,1722,388,0.821565,0.883827,150.925,359.85,78,200,243.993,360.0000000000476,38,81,26
0.3,2096,439,1853,397,0.884065,0.904328,153.7,359.85,256,598,219.658,360.0000000000476,38,212,35
0.5,2096,439,2022,432,0.964695,0.984055,157.975,359.6,441,1047,231.113,360.0000000000476,38,381,70
